Zip,County,Rate
43001,Licking,0.07
43002,Franklin,0.0675
43003,Delaware,0.0675
43003,Morrow,0.07
43004,Franklin,0.0675
43004,Licking,0.07
43005,Knox,0.065
43006,Coshocton,0.07
43006,Holmes,0.065
43006,Knox,0.065
43007,Union,0.0675
43008,Licking,0.07
43009,Champaign,0.07
43010,Clark,0.07
43011,Delaware,0.0675
43011,Knox,0.065
43011,Licking,0.07
43011,Morrow,0.07
43013,Licking,0.07
43014,Knox,0.065
43015,Delaware,0.0675
43015,Union,0.0675
43016,Delaware,0.0675
43016,Franklin,0.0675
43016,Union,0.0675
43016,Union (COTA),0.0725
43017,Delaware,0.0675
43017,Delaware (COTA),0.0725
43017,Franklin,0.0675
43017,Union,0.0675
43017,Union (COTA),0.0725
43018,Licking,0.07
43019,Knox,0.065
43019,Morrow,0.07
43019,Richland,0.0675
43021,Delaware,0.0675
43022,Knox,0.065
43023,Licking,0.07
43025,Licking,0.07
43026,Franklin,0.0675
43026,Madison,0.0675
43027,Licking,0.07
43028,Knox,0.065
43029,Madison,0.0675
43029,Union,0.0675
43030,Licking,0.07
43031,Delaware,0.0675
43031,Licking,0.07
43032,Delaware,0.0675
43033,Licking,0.07
43035,Delaware,0.0675
43035,Delaware (COTA),0.0725
43036,Union,0.0675
43037,Knox,0.065
43040,Delaware,0.0675
43040,Union,0.0675
43041,Union,0.0675
43044,Champaign,0.07
43044,Clark,0.07
43044,Madison,0.0675
43045,Champaign,0.07
43045,Union,0.0675
43046,Fairfield,0.065
43046,Licking,0.07
43047,Champaign,0.07
43048,Knox,0.065
43050,Knox,0.065
43050,Licking,0.07
43050,Morrow,0.07
43054,Delaware,0.0675
43054,Franklin,0.0675
43054,Licking,0.07
43055,Licking,0.07
43056,Licking,0.07
43056,Muskingum,0.07
43058,Licking,0.07
43060,Champaign,0.07
43060,Logan,0.07
43060,Union,0.0675
43061,Delaware,0.0675
43061,Union,0.0675
43062,Fairfield,0.065
43062,Franklin,0.0675
43062,Licking,0.07
